Date,Medicine_Name,Category,Supplier,Units_Purchased,Units_Sold,Current_Stock,Expiry_Date,Is_Shortage
3/4/2025,Ibuprofen,Antihistamine,LifeLine Pharma,95,226,0,11/9/2026,1
1/21/2025,Metformin,Antacid,MediCare Ltd.,179,241,0,11/1/2026,1
3/26/2025,Aspirin,Antacid,LifeLine Pharma,183,227,0,6/21/2026,1
1/8/2025,Aspirin,Antacid,LifeLine Pharma,107,112,0,5/31/2025,1
5/23/2025,Omeprazole,Painkiller,CareWell Distributors,162,118,44,11/1/2026,0
1/3/2025,Loratadine,Antihistamine,PharmaPlus,58,210,0,8/22/2026,1
3/5/2025,Azithromycin,Antidiabetic,LifeLine Pharma,48,232,0,7/20/2025,1
3/16/2025,Amoxicillin,Antibiotic,MediCare Ltd.,119,130,0,6/19/2025,1
5/29/2025,Paracetamol,Antidiabetic,MediCare Ltd.,33,198,-110,3/13/2026,1
4/5/2025,Azithromycin,Antacid,LifeLine Pharma,83,15,68,10/19/2026,0
3/18/2025,Cetirizine,Antacid,CareWell Distributors,130,212,0,10/11/2026,1
2/21/2025,Omeprazole,Antacid,MediCare Ltd.,196,153,43,6/10/2026,0
1/21/2025,Metformin,Painkiller,MediCare Ltd.,141,102,39,3/4/2026,0
6/7/2025,Paracetamol,Antacid,CareWell Distributors,177,199,-22,5/26/2027,0
2/17/2025,Ibuprofen,Antacid,HealthCorp,199,118,81,11/30/2026,0
5/23/2025,Ciprofloxacin,Antibiotic,PharmaPlus,170,158,12,4/3/2026,0
6/25/2025,Paracetamol,Antihistamine,PharmaPlus,179,238,-59,1/28/2027,0
1/12/2025,Paracetamol,Painkiller,LifeLine Pharma,59,315,-110,5/29/2025,1
4/15/2025,Metformin,Antibiotic,CareWell Distributors,70,180,0,4/29/2026,1
3/20/2025,Omeprazole,Antibiotic,CareWell Distributors,65,168,0,3/28/2026,1
2/24/2025,Ciprofloxacin,Painkiller,HealthCorp,138,55,83,7/1/2025,0
3/23/2025,Omeprazole,Antibiotic,CareWell Distributors,157,108,49,2/7/2027,0
3/18/2025,Ibuprofen,Antidiabetic,PharmaPlus,147,178,0,5/31/2026,1
6/6/2025,Amoxicillin,Antibiotic,PharmaPlus,98,94,4,11/7/2026,0
1/15/2025,Azithromycin,Painkiller,CareWell Distributors,76,27,49,10/23/2025,0
5/23/2025,Ibuprofen,Antacid,MediCare Ltd.,81,174,0,12/14/2025,1
1/6/2025,Aspirin,Painkiller,CareWell Distributors,148,111,37,11/17/2026,0
6/22/2025,Ciprofloxacin,Antihistamine,HealthCorp,122,233,0,4/5/2027,1
5/19/2025,Paracetamol,Antacid,HealthCorp,172,176,-4,4/22/2027,0
3/19/2025,Cetirizine,Painkiller,CareWell Distributors,79,58,21,5/22/2026,0
6/30/2025,Metformin,Antidiabetic,CareWell Distributors,192,52,140,10/23/2026,0
1/16/2025,Cetirizine,Painkiller,PharmaPlus,88,136,0,6/8/2026,1
5/11/2025,Ciprofloxacin,Antibiotic,MediCare Ltd.,28,113,0,2/24/2026,1
1/16/2025,Paracetamol,Antacid,PharmaPlus,149,336,-110,5/12/2025,1
5/14/2025,Loratadine,Antihistamine,PharmaPlus,90,38,52,2/25/2026,0
2/10/2025,Ibuprofen,Antacid,CareWell Distributors,155,149,6,10/22/2025,0
1/8/2025,Metformin,Painkiller,HealthCorp,188,193,0,10/6/2025,1
6/24/2025,Cetirizine,Painkiller,HealthCorp,175,213,0,2/10/2027,1
4/7/2025,Paracetamol,Painkiller,LifeLine Pharma,121,303,-110,4/20/2026,1
3/16/2025,Loratadine,Antidiabetic,MediCare Ltd.,23,150,0,9/6/2026,1
4/24/2025,Metformin,Antibiotic,LifeLine Pharma,70,237,0,2/14/2026,1
6/16/2025,Amoxicillin,Antibiotic,PharmaPlus,179,24,155,8/23/2026,0
4/4/2025,Metformin,Antibiotic,HealthCorp,130,245,0,10/21/2025,1
3/29/2025,Loratadine,Painkiller,LifeLine Pharma,186,144,42,1/9/2026,0
2/3/2025,Ibuprofen,Antidiabetic,CareWell Distributors,130,159,0,10/31/2025,1
1/5/2025,Amoxicillin,Antidiabetic,CareWell Distributors,98,75,23,5/29/2026,0
3/18/2025,Omeprazole,Antacid,HealthCorp,185,241,0,9/18/2026,1
3/31/2025,Paracetamol,Antihistamine,CareWell Distributors,102,347,-110,11/24/2026,1
4/29/2025,Aspirin,Antibiotic,PharmaPlus,158,85,73,5/3/2026,0
3/11/2025,Cetirizine,Painkiller,MediCare Ltd.,136,116,20,1/9/2026,0
1/30/2025,Metformin,Antacid,LifeLine Pharma,160,155,5,10/27/2026,0
1/29/2025,Omeprazole,Antacid,CareWell Distributors,159,229,0,11/20/2026,1
3/27/2025,Metformin,Painkiller,MediCare Ltd.,177,81,96,1/5/2027,0
1/20/2025,Aspirin,Antibiotic,HealthCorp,64,143,0,8/13/2025,1
2/12/2025,Cetirizine,Antibiotic,HealthCorp,35,119,0,6/7/2026,1
1/31/2025,Metformin,Painkiller,CareWell Distributors,116,28,88,3/25/2026,0
6/15/2025,Ibuprofen,Antacid,HealthCorp,122,89,33,1/16/2026,0
6/1/2025,Metformin,Antidiabetic,LifeLine Pharma,183,67,116,6/11/2026,0
2/25/2025,Metformin,Antacid,LifeLine Pharma,187,165,22,9/21/2025,0
2/19/2025,Aspirin,Antibiotic,LifeLine Pharma,28,113,0,10/28/2025,1
5/21/2025,Aspirin,Antacid,CareWell Distributors,123,183,0,12/2/2025,1
5/15/2025,Azithromycin,Antibiotic,LifeLine Pharma,177,107,70,12/23/2026,0
5/26/2025,Cetirizine,Antacid,MediCare Ltd.,90,135,0,7/13/2026,1
3/7/2025,Aspirin,Antidiabetic,CareWell Distributors,179,237,0,10/31/2025,1
3/11/2025,Ibuprofen,Antihistamine,HealthCorp,118,241,0,2/15/2027,1
3/10/2025,Amoxicillin,Antibiotic,PharmaPlus,101,189,0,12/30/2026,1
2/7/2025,Amoxicillin,Painkiller,PharmaPlus,33,107,0,8/12/2026,1
2/6/2025,Azithromycin,Antidiabetic,LifeLine Pharma,152,183,0,2/15/2026,1
5/3/2025,Ibuprofen,Antidiabetic,CareWell Distributors,59,67,0,12/8/2025,1
5/20/2025,Loratadine,Antidiabetic,CareWell Distributors,117,60,57,2/7/2027,0
1/14/2025,Cetirizine,Antacid,CareWell Distributors,61,247,0,3/20/2026,1
2/7/2025,Paracetamol,Antacid,MediCare Ltd.,157,358,-110,10/2/2026,1
2/28/2025,Omeprazole,Antacid,MediCare Ltd.,184,142,42,6/30/2026,0
4/16/2025,Paracetamol,Antidiabetic,LifeLine Pharma,84,222,-110,2/22/2026,1
6/9/2025,Metformin,Antacid,LifeLine Pharma,22,213,0,1/1/2027,1
1/25/2025,Azithromycin,Antacid,CareWell Distributors,69,19,50,7/26/2025,0
5/24/2025,Aspirin,Antibiotic,MediCare Ltd.,138,63,75,11/9/2025,0
3/3/2025,Aspirin,Painkiller,CareWell Distributors,162,215,0,9/30/2026,1
5/1/2025,Paracetamol,Antidiabetic,HealthCorp,73,252,-110,8/24/2025,1
1/19/2025,Azithromycin,Antacid,MediCare Ltd.,55,52,3,4/23/2026,0
6/16/2025,Cetirizine,Antidiabetic,HealthCorp,52,108,0,12/16/2025,1
6/28/2025,Ibuprofen,Antacid,PharmaPlus,97,67,30,4/1/2027,0
6/10/2025,Cetirizine,Antibiotic,CareWell Distributors,30,231,0,4/11/2026,1
5/8/2025,Azithromycin,Antihistamine,HealthCorp,125,58,67,1/5/2026,0
1/2/2025,Amoxicillin,Painkiller,MediCare Ltd.,35,143,0,8/17/2026,1
3/2/2025,Loratadine,Antidiabetic,CareWell Distributors,141,121,20,2/11/2027,0
2025-07-17,panadol,,,0,0,0,2025-07-31,0
2025-07-17,panadol,tablet,faraz hussain,500,0,500,2025-07-31,0
2025-07-17,panadol,tablet,faraz hussain,500,0,500,2025-07-31,0
2025-07-31,pandol 2,capsol,faraz ,500,5,495,2025-07-31,0
